09:48 28/04/2023,,,,,,,,,למשח 'עמ :9 קרפ,,,,,,,
,,,,,,,,,םיבגמ 'עמ 62 :קרפ תת,,,,,,,
הינקס ינוריע 5 ורוי,ףאד SB230 5 ורוי,"ע""ב גנוטוי 6 ורוי","ןדלוג ע""ב ןוגרד A",ףאד SB4000 5 ורוי,ןאמ יקרפימ 5 ורוי,וולוו B12B 5 ורוי טפישיה,וולוו ZF ינוריע B8,ןאמ ינוריע 5 ורוי,"סדצרמ OC500 5 ע""ב","הינקס 5 ורוי ע""ב קארטוס",,הלועפ רואת,רפסמ,,,
5,5,,5,5,5,5,5,5,5,5,,לופכ עורז וא בהל תפלחה - בגמ,62-1,,,
45,52,,,52,45,52,45,45,38,52,תועורזל השיג תיזח הסכמ ה''ופ,הפלחה-בגמל ריצ בגמ יריצ הסכמה תיזח לנפ ה''ופ :ללוכ,62-3,,,
,,,,,,,,,,,הפלחה-רזיריא בגמל ריצ ץיאמ םימלב תושווד הסכמ ה''ופ ימדק הסכמ ה''ופ,,62-5,,,
,29,,,29,,29,,,38,29,הפלחה-(תועורז עינמ) בגמ עונמל יזכרמ ריצ םינועש חול ה''ופ בגמ עונמ לעמ הנגה תשרו השיג יחתפ ה''ופ :ללוכ,,62-7,,,
45,44,,,44,45,44,45,45,135,44,תיזח תואסכצ ה''ופ,הפלחה-בגמ עונמ בגמ עונמל השיג יחתפ ה''ופ :ללוכ,62-9,,,
,,,,,,,,,,,,הפלחה-רזיריא בגמ עונמ,62-11,,,
10,10,10,10,10,10,10,10,10,10,10,םימ יולימ,לופיט - םימ יזיתמ םנוויכו ריוא ץחלב תוזיד יוקינ :ללוכ,62-13,,,
9,9,,,9,9,9,9,9,9,9,,םאתמ לפינ תפלחה-םימ זיתמ,62-15,,,
6,6,,,6,6,6,6,6,6,6,,הפלחה-םיבגמל םימ רוניצ,62-17,,,
,,,,,,,,,,,,זיתמל ליבומ ה''ופ - םימ יזיתמ ךרוצה תדימב יוקינו ןווכ :ללוכ,62-19,,,
,5,,,5,13,5,13,13,5,5,תילמשח הבאשמ תפלחה - םימ יזיתמ,,62-21,,,
,,,,,,,,,,,,,,,,
159 :ףד,,,,,,,,,,ןמז ינקת,,,,,,
09:48 28/04/2023,,,,,,,,,למשח 'עמ :9 קרפ,,,,,,,
,,,,,,,,הנוכמ םינפו גהנ ןחלוש 63 :קרפ תת,,,,,,,,
הינקס ינוריע 5 ורוי,ףאד SB230 5 ורוי,"ע""ב גנוטוי 6 ורוי","ןדלוג ע""ב ןוגרד A",ףאד SB4000 5 ורוי,ןאמ יקרפימ 5 ורוי,וולוו B12B 5 ורוי טפישיה,וולוו ZF ינוריע B8,ןאמ ינוריע 5 ורוי,"סדצרמ OC500 5 ע""ב","הינקס 5 ורוי ע""ב קארטוס",,הלועפ רואת,רפסמ,,,
45,45,,,45,,45,,,45,45,,ה''ופ-טלפמוק םינועש חול,63-2,,,
19,19,,,19,,19,,,19,19,,הפלחה-הרואת עגמ יקספמ חול םינועש חול ה''ופ :ללוכ,63-4,,,
54,54,,,54,54,54,54,54,54,54,,תותלדו הרואת יקספמ תנקתה-ןופסכ םינועש חול ה''ופ :ללוכ,63-5,,,
28,9,,,9,28,19,28,28,9,9,תורונ וא הרונ תפלחה,הפלחה-םינועש חולב תורונ/ הרונ ספדומ לגעמ ה''ופ םינועש חול ה''ופ :ללוכ,63-6,,,
,,,,,11,,11,11,,,,קוזיח - ךומנ ןאמב גהנ ןחלוש,63-8,,,
,50,,,50,,,,,27,50,,ןוכדעו תונכת-םינועש חול םינועש חול ה''ופ :ללוכ,63-10,,,
17,,,,,45,,45,45,,,,הפלחה-םינועש חולב (גצ) הגוצת חול,63-12,,,
,,,,,45,,45,45,,,,הפלחה-םינועש חולב(יילפסיד) הגוצת חומ םינועש חול ה''ופ :ללוכ,63-14,,,
8,19,,,19,31,19,31,31,19,19,,ה''ופ - ץוא-דמ/ףרגוכט ןועש םינועש חול ה''ופ :ללוכ,63-16,,,
52,33,52,52,33,52,52,52,52,52,33,(רישכמ םע) ףרגוכט ןועש לויכו הקידב,שדח ןועשל הפלחה\ןוישר שודיח-ףרגוכט ןועש שדחל ןשימ תורפס תוטסק תרבעה םינועש חול ה''ופ :ללוכ יושירל ספוט יולימ,63-20,,,
